# Station Name;Device Type;IP Address;Submodule 1 Name;Submodule 1 Type;Submodule 2 Name;Submodule 2 Type;...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0041-uf31-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.41;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0042-uf41-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.42;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;-K30005;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0044-ct1-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.44;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;
n0045-ct1-el002-k30001;6ES7155-6AU01-0BN0;192.168.50.45;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;
n0046-ct1-el003-k30001;6ES7155-6AU01-0BN0;192.168.50.46;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;
n0047-lv002-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.47;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0048-lv002-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.48;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0050-uc13-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.50;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7131-6BH01-0BA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;-K30010;6ES7136-6DB00-0CA0;-K30011;6ES7136-6DB00-0CA0;-K30012;6ES7136-6DB00-0CA0;-K30013;6ES7136-6DB00-0CA0;;;;;;;;;;;;
n0053-uc12-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.53;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7131-6BH01-0BA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;-K30010;6ES7136-6DB00-0CA0;-K30011;6ES7136-6DB00-0CA0;-K30012;6ES7136-6DB00-0CA0;-K30013;6ES7136-6DB00-0CA0;;;;;;;;;;;;
n0054-uf31-el003-k30001;6ES7155-6AU01-0BN0;192.168.50.54;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;-K30005;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0057-uc11-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.57;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7131-6BH01-0BA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;-K30010;6ES7136-6DB00-0CA0;-K30011;6ES7136-6DB00-0CA0;-K30012;6ES7136-6DB00-0CA0;-K30013;6ES7136-6DB00-0CA0;;;;;;;;;;;;
n0058-lv003-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.58;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0059-lv003-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.59;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0028-uc17-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.28;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6DB00-0CA0;-K30007;6ES7136-6DB00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;
